type,area,neighborhood,latitude,longitude,age,floor,bedrooms,price,sqmprice,zone,street,elevator,parking,storage,yard,balcony,reconstructed
0,73.0,1,36.3737765,59.47582,11.0,1.0,2.0,2200000000,30136986.0,12.0,29,1,1,1,0,0,0
0,100.0,14,36.32767,59.54838,7.0,1.0,2.0,4800000000,48000000.0,2.0,166,1,1,1,1,0,0
0,140.0,17,36.310604816622615,59.50447669120178,0.0,2.0,2.0,10200000000,72857142.0,9.0,229,1,1,1,0,0,0
0,65.0,1,36.40054,59.388382,6.0,4.0,1.0,870000000,13384615.0,12.0,29,0,0,0,0,0,0
0,200.0,1,36.3737765,59.47582,0.0,0.0,3.0,5350000000,26750000.0,12.0,29,1,1,1,1,0,0
1,1000.0,1,36.476097,59.40757,6.0,0.0,4.0,25000000000,25000000.0,12.0,35,0,1,1,0,1,0
0,120.0,8,36.28718,59.57472,10.0,4.0,2.0,5200000000,43333333.0,1.0,260,1,1,1,0,0,0
0,151.0,3,36.36002,59.5174,15.0,0.0,2.0,3300000000,21854304.0,10.0,178,0,1,1,1,0,1
0,120.0,11,36.31803637201696,59.55147485505697,4.0,2.0,2.0,8500000000,70833333.0,1.0,116,1,1,1,0,0,0
0,81.0,3,36.36212237446835,59.52152082854256,23.0,4.0,1.0,2250000000,27777777.0,10.0,76,0,0,0,0,0,0
0,86.0,1,36.3771289772827,59.48064696471362,10.0,1.0,2.0,2500000000,29069767.0,12.0,28,0,0,0,0,0,0
0,107.0,5,36.329693,59.479332,7.0,2.0,2.0,4850000000,45327102.0,9.0,150,1,1,1,0,0,1
0,193.0,5,36.33234062414125,59.48554209952649,9.0,1.0,3.0,6200000000,32124352.0,9.0,150,1,1,1,0,0,0
0,135.0,1,36.3737765,59.47582,0.0,1.0,2.0,4180000000,30962962.0,12.0,29,1,1,1,0,0,0
0,85.0,3,36.36002,59.5174,0.0,1.0,2.0,2900000000,34117647.0,10.0,178,1,1,1,0,0,0
0,149.0,1,36.380833,59.47139,0.0,4.0,3.0,5220000000,35033557.0,12.0,29,1,1,1,0,0,0
0,160.0,2,36.34112770310227,59.47051705738161,0.0,5.0,3.0,9250000000,57812500.0,11.0,162,1,1,1,0,0,0
1,60.0,10,36.29103,59.53786,2.0,0.0,2.0,4900000000,81666666.0,9.0,108,0,1,1,0,1,1
0,105.0,12,36.26528,59.60926,0.0,3.0,2.0,2600000000,24761904.0,7.0,259,1,1,0,0,0,1
