,id,carat,clarity,color,cut,depth,table,x,y,z
1,338735101,0.23,SI2,E,Ideal,61.5,55.0,3.95,3.98,2.43
2,621861882,0.21,SI1,E,Premium,59.8,61.0,3.89,3.84,2.31
3,473363314,0.23,VS1,E,Good,56.9,65.0,4.05,4.07,2.31
4,450523266,0.29,VS2,I,Premium,62.4,58.0,4.2,4.23,2.63
5,529059166,0.31,SI2,J,Good,63.3,58.0,4.34,4.35,2.75
6,604944046,0.24,VVS2,J,Very Good,62.8,57.0,3.94,3.96,2.48
7,274972610,0.24,VVS1,I,Very Good,62.3,57.0,3.95,3.98,2.47
8,481099403,0.26,SI1,H,Very Good,61.9,55.0,4.07,4.11,2.53
9,664971709,0.22,VS2,E,Fair,65.1,61.0,3.87,3.78,2.49
10,477882128,0.23,VS1,H,Very Good,59.4,61.0,4.0,4.05,2.39
11,713565276,0.3,SI1,J,Good,64.0,55.0,4.25,4.28,2.73
12,766076378,0.23,VS1,J,Ideal,62.8,56.0,3.93,3.9,2.46
13,689542985,0.22,SI1,F,Premium,60.4,61.0,3.88,3.84,2.33
14,859140950,0.31,SI2,J,Ideal,62.2,54.0,4.35,4.37,2.71
15,480886622,0.2,SI2,E,Premium,60.2,62.0,3.79,3.75,2.27
16,841028436,0.32,I1,E,Premium,60.9,58.0,4.38,4.42,2.68
17,367647458,0.3,SI2,I,Ideal,62.0,54.0,4.31,4.34,2.68
18,806877484,0.3,SI1,J,Good,63.4,54.0,4.23,4.29,2.7
19,608142160,0.3,SI1,J,Good,63.8,56.0,4.23,4.26,2.71
20,655360168,0.3,SI1,J,Very Good,62.7,59.0,4.21,4.27,2.66
21,553386041,0.3,SI2,I,Good,63.3,56.0,4.26,4.3,2.71
22,995812409,0.23,VS2,E,Very Good,63.8,55.0,3.85,3.92,2.48
23,141957806,0.23,VS1,H,Very Good,61.0,57.0,3.94,3.96,2.41
24,860881112,0.31,SI1,J,Very Good,59.4,62.0,4.39,4.43,2.62
25,399677144,0.31,SI1,J,Very Good,58.1,62.0,4.44,4.47,2.59
26,350859449,0.23,VVS2,G,Very Good,60.4,58.0,3.97,4.01,2.41
27,113348420,0.24,VS1,I,Premium,62.5,57.0,3.97,3.94,2.47
28,710482492,0.3,VS2,J,Very Good,62.2,57.0,4.28,4.3,2.67
29,649633036,0.23,VS2,D,Very Good,60.5,61.0,3.96,3.97,2.4
30,956673670,0.23,VS1,F,Very Good,60.9,57.0,3.96,3.99,2.42
31,911576768,0.23,VS1,F,Very Good,60.0,57.0,4.0,4.03,2.41
32,324360180,0.23,VS1,F,Very Good,59.8,57.0,4.04,4.06,2.42
33,572975563,0.23,VS1,E,Very Good,60.7,59.0,3.97,4.01,2.42
34,993887272,0.23,VS1,E,Very Good,59.5,58.0,4.01,4.06,2.4
35,302781466,0.23,VS1,D,Very Good,61.9,58.0,3.92,3.96,2.44
36,350152082,0.23,VS1,F,Good,58.2,59.0,4.06,4.08,2.37
